date:c,temperature:n,humidity:n,light:n,co2:n,occupancy:t
2015-02-04,23,27,426,721,yes
2015-02-04,23,27,430,714,yes
2015-02-04,23,27,426,714,yes
2015-02-04,23,27,426,708,yes
2015-02-04,23,27,426,705,yes
2015-02-04,23,27,419,701,yes
2015-02-04,23,27,419,702,yes
2015-02-04,23,27,419,699,yes
2015-02-04,23,27,419,689,yes
2015-02-04,23,27,419,688,yes
2015-02-04,23,27,419,690,yes
2015-02-04,23,27,419,691,yes
2015-02-04,23,27,419,684,yes
2015-02-04,23,27,419,688,yes
2015-02-04,23,27,419,686,yes
2015-02-04,23,27,419,681,yes
2015-02-04,23,27,0,682,no
2015-02-04,23,27,0,685,no
2015-02-04,23,27,0,685,no
2015-02-04,23,27,0,689,no
2015-02-04,23,27,0,690,no
2015-02-04,23,27,0,689,no
2015-02-04,23,27,0,691,no
2015-02-04,23,28,0,688,no
2015-02-04,23,28,0,690,no
2015-02-04,23,27,0,689,no
2015-02-04,23,28,0,686,no
2015-02-04,23,28,0,687,no
2015-02-04,23,28,0,688,no
2015-02-04,23,28,0,670,no
2015-02-04,23,27,0,669,no
2015-02-04,23,28,0,670,no
2015-02-04,23,28,0,667,no
2015-02-04,23,27,0,665,no
2015-02-04,23,28,0,670,no
2015-02-04,23,27,0,670,no
2015-02-04,23,27,0,672,no
2015-02-04,23,27,0,658,no
2015-02-04,23,27,0,661,no
2015-02-04,23,27,0,658,no
2015-02-04,23,27,0,655,no
2015-02-04,23,27,0,654,no
2015-02-04,23,27,0,648,no
2015-02-04,23,27,0,649,no
2015-02-04,23,27,0,646,no
2015-02-04,23,28,0,646,no
2015-02-04,23,27,0,642,no
2015-02-04,22,27,0,639,no
2015-02-04,23,28,0,640,no
2015-02-04,22,27,0,631,no
2015-02-04,22,27,0,629,no
2015-02-04,22,28,0,632,no
2015-02-04,22,28,0,637,no
2015-02-04,22,28,0,628,no
2015-02-04,22,27,0,626,no
2015-02-04,22,28,0,626,no
2015-02-04,22,27,0,624,no
2015-02-04,22,27,0,625,no
2015-02-04,22,27,0,622,no
2015-02-04,22,27,0,621,no
